,0,1,2,3,4,5,Next
10615,AD,6C,9D,,,,
10616,10C,JC,8H,,,,
10617,4H,QD,6H,4S,,,
10618,6H,KS,4S,,,,
10619,6D,7H,2C,AS,5H,,
10620,4S,JD,2S,8D,,,
10621,9H,QS,7S,,,,
10622,6H,QC,5H,,,,
10623,7D,3S,2D,,,,
10624,AH,7S,JD,,,,
10625,4H,4D,9D,,,,
10626,9S,6H,QS,,,,
10627,AS,AD,6H,5C,,,
10628,4C,AD,7S,,,,
10629,AD,3S,6C,5H,9S,,
10630,7D,2C,8H,,,,
10631,6D,5H,KC,,,,
10632,6C,7D,JS,,,,
10633,AS,10S,4D,,,,
10634,9D,8S,3C,2D,,,
10635,6S,9C,KD,,,,
10636,9H,8H,8D,,,,
10637,10H,4D,JD,,,,
10638,QD,QC,8C,,,,
10639,3D,8H,5H,2C,10D,,
10640,4S,KC,10D,,,,
10641,AS,9D,KC,,,,
10642,JS,8H,KH,,,,
10643,AS,10D,10C,,,,
10644,10D,JH,4D,,,,
10645,3D,8C,9C,,,,
10646,QH,QC,5C,,,,
10647,3S,AD,5H,4H,7C,8D,
10648,JC,8D,8S,,,,
10649,JD,9H,7H,,,,
10650,4D,KC,KD,,,,
10651,4D,7S,2D,4H,,,
10652,JD,10D,6H,,,,
10653,6S,KS,6C,,,,
10654,9C,9D,9S,,,,
10655,QC,3S,10H,,,,
10656,9D,8D,3C,KC,,,
10657,JH,3D,5S,QS,,,
10658,7H,7S,8H,,,,
10659,AC,3D,QD,5H,4D,,
10660,8D,JS,JD,,,,
10661,9C,JS,3D,,,,
10662,2S,3S,6C,8D,,,
10663,QD,AC,10H,,,,
10664,9D,4S,AD,,,,
10665,AD,6D,6C,,,,
10666,JC,7C,4D,,,,
10667,8H,JH,7S,,,,
10668,QH,3D,AS,9S,,,
10669,KH,6C,3H,3D,,,
10670,10S,7S,QC,,,,
10671,JS,2D,8C,6C,,,
10672,9D,8D,6C,,,,
10673,8C,4D,9C,,,,
10674,JH,5S,7C,,,,
10675,8S,7D,2C,,,,
10676,5D,5S,QS,,,,
10677,JS,KS,9C,,,,
10678,KH,6C,7S,,,,
10679,3D,9S,2S,5S,,,
10680,QC,6C,4H,3D,,,
10681,AH,9H,6C,,,,
10682,10D,QS,10H,,,,
10683,2D,AD,KH,,,,
10684,QD,10H,2D,,,,
10685,10S,3S,JH,,,,
10686,9D,AD,4D,QH,,,
10687,9D,6S,5S,KC,,,
10688,10D,AH,QS,,,,
10689,8S,9S,5S,,,,
10690,3H,2D,KC,9D,,,
10691,3C,4C,2S,,,,
10692,10C,5H,9S,,,,
10693,AD,AS,KD,QC,,,
10694,QD,5C,KC,,,,
10695,KC,9H,2S,,,,
10696,KH,AH,9S,,,,
10697,2S,7S,2C,9D,4S,,
10698,AS,10C,JD,,,,
10699,9C,QS,6D,,,,
10700,5S,KS,5H,,,,
10701,QS,9D,2D,,,,
10702,QC,KC,3D,,,,
10703,JS,KS,4S,,,,
10704,QS,3D,7D,,,,
10705,9C,KC,9D,,,,
10706,QS,7H,8S,,,,
10707,4H,3S,AD,,,,
10708,KC,10D,10C,,,,
10709,JH,8C,QH,,,,
10710,KC,KS,AH,,,,
10711,2S,7C,AD,9H,,,
10712,9C,3C,7S,,,,
10713,KD,JC,9C,,,,
10714,8H,5S,10S,,,,
10715,8D,JH,QS,,,,
10716,3S,4S,JS,JC,,,
10717,3D,2C,9H,6S,3H,,
10718,8D,9C,5S,,,,
10719,3C,5D,2C,QD,,,
10720,5C,QS,5D,,,,
10721,3D,JH,10S,,,,
10722,AH,JS,JC,,,,
10723,JS,5S,9H,,,,
10724,JC,8D,5D,,,,
10725,7D,QD,4S,,,,
10726,QC,4D,7H,,,,
10727,7H,9S,2C,JD,,,
10728,3S,7D,8H,8C,,,
10729,4H,9S,7D,7C,,,
10730,AS,AD,7H,3H,,,
10731,4S,AS,7D,QS,,,
10732,4S,KH,7D,,,,
10733,KC,8H,8C,,,,
10734,8D,7C,9S,,,,
10735,4H,JD,JC,,,,
10736,6H,8C,10S,,,,
10737,5H,2S,6H,5C,,,
10738,2C,KD,AC,,,,
10739,7C,7D,KH,,,,
10740,6C,7C,JD,,,,
10741,3H,3D,2D,,,,
10742,5H,AC,AS,KS,3H,3C,
10743,9H,5H,5D,JD,,,
10744,JD,AS,6H,QH,,,
10745,7D,JD,8D,,,,
10746,6H,3C,6D,JC,,,
10747,KC,5S,JC,,,,
10748,KC,9H,8C,,,,
10749,3H,2C,QH,,,,
10750,5S,5D,2D,,,,
10751,AD,6S,KC,4H,,,
10752,10D,JS,3S,,,,
10753,2C,JD,2S,AH,,,
10754,7S,10D,8S,,,,
10755,9S,QS,4C,,,,
10756,4C,2S,4S,6D,3S,,
10757,7D,2C,4D,,,,
10758,5H,3H,8H,8D,,,
10759,JC,9D,6D,,,,
10760,JH,10S,QC,,,,
10761,8H,KD,9H,,,,
10762,4H,7H,3C,8S,,,
10763,2D,2S,QS,,,,
10764,7C,8C,4H,KC,,,
10765,4H,9D,6D,AH,,,
10766,10S,QC,10C,,,,
10767,4D,3D,2C,,,,
10768,JS,KD,10C,,,,
10769,6C,8S,8C,,,,
10770,10H,6H,KC,,,,
10771,5D,AC,7S,,,,
10772,2D,QD,3H,10H,,,
10773,8C,10D,3D,,,,
10774,6S,2C,5H,5C,9H,,
10775,QS,8C,10S,,,,
10776,10H,3S,AH,,,,
10777,4D,AD,9C,JC,,,
10778,JS,9H,7S,,,,
10779,7S,8S,7C,,,,
10780,7H,AD,QD,,,,
10781,QC,7C,JC,,,,
10782,3S,JH,8S,,,,
10783,QS,8D,3S,,,,
10784,5H,4H,2D,,,,
10785,5D,KD,KC,,,,
10786,5C,QD,QS,,,,
10787,6D,QD,KD,,,,
10788,3S,JH,9S,,,,
10789,3D,JS,2D,QH,,,
10790,6S,8D,QH,,,,
10791,4H,3S,8C,,,,
10792,8D,5S,4C,5C,,,
10793,6H,KD,JC,,,,
10794,3S,7C,AS,,,,
10795,2D,10C,AS,9S,,,
10796,AD,QS,8D,8C,,,
10797,3S,JD,8H,,,,
10798,4D,6H,4S,,,,
10799,8D,5H,9H,,,,
10800,10D,4S,4H,7H,,,
10801,5D,8H,5H,2H,5C,,
10802,8D,10H,5D,,,,
10803,QC,10S,JH,,,,
10804,3C,7S,7C,4D,,,
10805,QD,7H,JH,,,,
10806,2C,6S,6H,,,,
10807,JC,7D,4H,,,,
10808,7C,3D,4H,QH,,,
10809,5H,10S,6C,,,,
10810,9C,5C,9D,,,,
10811,QD,3S,9S,,,,
10812,JD,4C,2D,,,,
10813,10H,8C,10C,,,,
10814,8D,7D,9S,,,,
10815,2S,QD,5C,9S,,,
10816,3D,9C,10C,,,,
10817,8H,4H,AH,4S,AD,,
10818,10H,4D,AD,AH,,,
10819,JS,10S,KC,,,,
10820,7S,7C,10C,,,,
10821,JC,6D,AC,,,,
10822,JC,4S,6S,5S,,,
10823,9S,KS,8H,,,,
10824,AS,8S,8D,JH,,,
10825,5H,KD,6S,,,,
10826,9H,9S,4H,,,,
10827,7D,KD,7S,,,,
10828,7H,6H,4S,AH,7C,,
10829,6S,KC,6H,,,,
10830,10D,9S,KH,,,,
10831,KH,2D,7C,,,,
10832,QS,2D,KC,,,,
10833,10S,4H,AC,AS,4S,,
10834,QS,4S,3D,,,,
10835,8C,8H,10C,,,,
10836,7D,7H,3D,,,,
10837,9C,7C,JH,,,,
10838,JS,2S,2C,KD,,,
10839,2D,9D,7S,QD,,,
10840,3C,10C,10H,,,,
10841,9D,8H,3H,JS,,,
10842,6S,AS,10D,,,,
10843,KC,2H,JC,,,,
10844,QS,5H,9D,,,,
10845,7S,AS,8D,3D,,,
10846,3S,KH,5S,,,,
10847,7H,KD,KC,,,,
10848,7S,AC,QH,5C,,,
10849,AS,2D,3S,10C,JC,,
10850,2S,8H,2C,,,,
10851,QC,AC,6D,,,,
10852,4S,6D,JC,,,,
10853,3D,AC,9H,QD,,,
10854,10C,KD,7D,,,,
10855,10H,6D,2D,JH,,,
10856,8C,10C,10H,,,,
10857,5D,QS,10C,,,,
10858,5S,3C,7H,,,,
10859,QD,3C,JS,,,,
10860,AD,JC,QH,,,,
10861,6S,8D,4S,AD,,,
10862,3C,KD,2S,10H,,,
10863,2S,4H,JS,,,,
10864,5H,3C,KH,10H,,,
10865,6C,7H,5S,,,,
10866,3C,2D,10H,2C,,,
10867,7C,7D,6H,9D,,,
10868,10C,8C,3C,,,,
10869,4H,KC,6D,5H,,,
10870,8S,8D,KD,,,,
10871,AC,KD,3S,9H,,,
10872,8D,QH,AH,4H,,,
10873,6S,8H,5D,,,,
10874,JS,AS,9C,,,,
10875,4S,7C,3D,,,,
10876,JH,10H,3C,,,,
10877,6H,2C,10S,,,,
10878,KC,JD,5H,,,,
10879,4H,QH,JD,,,,
10880,3C,2C,KS,,,,
10881,7C,QD,6H,,,,
10882,9S,4D,8C,,,,
10883,6C,7C,5H,10C,,,
10884,5H,9S,6D,,,,
10885,JH,2H,10H,,,,
10886,6S,2S,3C,JD,,,
10887,4S,4D,4C,3D,,,
10888,9C,KD,AC,3S,,,
10889,4H,3H,8H,,,,
10890,8C,7S,JC,,,,
10891,KC,10S,KS,,,,
10892,7C,10H,9H,,,,
10893,10S,4H,8H,,,,
10894,5S,JS,9H,,,,
10895,9S,KD,QC,,,,
10896,2D,10H,QS,,,,
10897,3S,QS,9D,,,,
10898,JH,8C,QS,,,,
10899,JS,6H,3D,6C,,,
10900,10C,4S,6H,AD,,,
10901,QS,9C,7S,,,,
10902,8H,7C,8D,,,,
10903,3S,KS,5D,9H,,,
10904,4H,KH,QC,,,,
10905,8C,AC,7S,2D,,,
10906,8D,6D,9H,,,,
10907,3D,KH,KC,,,,
10908,2C,KC,3S,,,,
10909,10H,KH,7H,,,,
10910,AD,6S,2H,7S,6C,,
10911,QC,KD,5H,,,,
10912,7C,9C,2D,,,,
10913,3C,2C,9C,QC,,,
10914,JD,AD,KD,,,,
10915,3S,2S,KS,,,,
10916,4S,AC,8S,,,,
10917,5D,QC,JD,,,,
10918,QS,JH,JS,,,,
10919,7S,8C,10C,,,,
10920,4S,5C,9C,5H,,,
10921,3S,9C,AC,,,,
10922,6S,9H,2H,2S,QS,,
10923,5D,KH,10H,,,,
10924,3H,AD,4S,9D,2C,,
10925,2C,AC,10C,10D,,,
10926,6D,4H,5H,2D,8D,,
10927,3H,QH,3S,5D,,,
10928,8H,KH,2H,9S,,,
10929,8H,QD,9C,,,,
10930,10C,5D,3S,,,,
10931,3C,6D,KD,8S,,,
10932,3S,8D,AH,,,,
10933,KS,3H,KC,,,,
10934,KC,10S,10D,,,,
10935,JD,4S,9S,,,,
10936,9S,4C,5H,QS,,,
10937,9C,4C,AD,10C,,,
10938,2S,KD,7H,3C,,,
10939,7H,2S,7C,,,,
10940,5H,2H,JH,,,,
10941,KS,3S,7S,,,,
10942,8S,7S,QH,,,,
10943,2D,6S,6C,4C,8D,,
10944,AH,8D,AD,5S,,,
10945,10H,8C,8S,,,,
10946,2H,3H,3C,3S,6D,,
10947,KH,KC,6S,,,,
10948,AS,AC,10H,,,,
10949,6D,9C,3H,AC,,,
10950,8D,JH,AD,QH,,,
10951,QC,3D,8H,,,,
10952,3D,4S,4D,KC,,,
10953,JS,AC,2S,,,,
10954,AS,AH,3C,6D,7D,,
10955,7H,KD,JS,,,,
10956,10S,2H,AS,8D,,,
10957,AS,KS,10D,,,,
10958,JC,7H,QH,,,,
10959,JS,4S,5H,8H,,,
10960,JD,9C,2C,,,,
10961,3D,AD,10S,QC,,,
10962,8D,4D,QH,,,,
10963,5H,QH,3S,AS,10S,,
10964,8H,AC,KC,,,,
10965,3D,2H,8C,4D,6H,,
10966,7H,3C,AD,6S,7C,,
10967,8S,QS,9D,,,,
10968,7C,9C,5C,,,,
10969,4C,8S,3H,QD,,,
10970,KC,7H,JC,,,,
10971,9H,4H,8H,,,,
10972,9S,2H,8C,,,,
10973,7D,5H,JC,,,,
10974,5C,KC,5S,JD,,,
10975,3H,5H,3C,4C,6D,,
10976,KH,7D,3C,5D,,,
10977,6C,3H,3D,JH,,,
10978,5S,JS,8D,,,,
10979,AH,JH,4C,,,,
10980,QD,2H,10H,,,,
10981,JC,QH,7H,,,,
10982,10C,8H,2S,9S,,,
10983,10C,6D,3S,,,,
10984,KH,6D,4C,8S,,,
10985,AD,2D,9D,,,,
10986,4S,AS,9H,9C,,,
10987,2C,KD,2H,,,,
10988,QS,KS,KC,,,,
10989,10C,6H,QC,,,,
10990,6S,10D,8S,,,,
10991,AS,2C,KD,,,,
10992,2H,JC,JD,,,,
10993,3H,5D,JS,,,,
10994,AC,8S,4C,JD,,,
10995,3S,9D,QD,,,,
10996,KD,8C,4D,,,,
10997,KD,AS,7S,9C,,,
10998,AC,3S,2D,2H,AD,,
10999,JS,2C,8C,10D,,,
11000,JS,6C,9S,,,,
11001,7D,2C,4C,,,,
11002,JC,KS,3D,,,,
11003,10S,8D,KH,,,,
11004,6H,5C,10D,,,,
11005,6C,6H,2H,8C,,,
11006,3S,2C,KD,7H,,,
11007,9D,10D,6D,,,,
11008,5H,10C,9C,,,,
11009,2S,9H,5S,4S,4C,,
11010,8S,7D,AD,QC,,,
11011,3S,JC,AD,JD,,,
11012,5C,KC,JD,,,,
11013,AD,AH,KS,4D,,,
11014,5C,3H,6H,KC,,,
11015,9S,10H,4S,,,,
11016,3C,10S,2C,3S,,,
11017,7D,AS,4D,3S,7H,,
11018,QC,7H,JC,,,,
11019,5D,3H,8H,,,,
11020,QC,2C,10D,,,,
11021,JD,4S,5S,QH,,,
11022,KH,6C,7C,,,,
11023,4H,6H,AD,10C,,,
11024,6S,9D,5H,JC,,,
11025,7H,4S,AC,,,,
11026,AD,AH,7H,,,,
11027,QH,7S,3C,,,,
11028,9H,3H,QS,,,,
11029,7H,2C,AH,,,,
11030,8S,10D,2S,,,,
11031,AC,6C,9S,QD,,,
11032,KC,JS,8H,,,,
11033,QC,9C,10C,,,,
11034,10C,3S,7S,7D,,,
11035,4S,AC,8S,3S,8H,,
11036,5H,9S,8D,,,,
11037,7S,7C,4H,AD,,,
11038,9H,5D,JC,,,,
11039,QH,10S,10C,,,,
11040,KH,5S,9D,,,,
11041,2H,AS,10S,AC,,,
11042,10H,QH,8S,,,,
11043,5H,KH,7S,,,,
11044,5S,3H,QC,2C,,,
11045,7D,AS,2H,,,,
11046,2S,4D,5H,AH,3H,,
11047,5D,AD,QC,QS,,,
11048,10D,6D,2S,,,,
11049,4H,10H,5C,7S,,,
11050,7H,AD,8H,7S,,,
11051,4C,8D,8H,7D,,,
11052,AH,JD,5H,,,,
11053,8S,10H,5H,,,,
11054,4D,9H,2C,,,,
11055,9H,4H,JS,,,,
11056,7C,KC,6D,,,,
11057,2C,2D,4H,8H,,,
11058,QD,2S,5D,,,,
11059,7H,10H,QH,,,,
11060,2D,9H,2S,,,,
11061,5D,10C,AH,2D,8D,,
11062,9C,4S,JH,,,,
11063,6C,9S,KC,,,,
11064,10D,4H,6D,,,,
11065,3S,AC,9C,,,,
11066,7H,7S,4S,,,,
11067,10C,AC,2D,KC,,,
11068,QS,KS,8D,,,,
11069,7S,AS,9D,KH,,,
11070,KS,8S,KC,,,,
11071,4H,QH,5D,,,,
11072,JS,2C,QC,,,,
11073,2D,6S,7S,2C,,,
11074,5D,7C,7D,5H,,,
11075,10H,AS,2H,,,,
11076,3C,10C,4S,,,,
11077,4D,QH,5D,4C,,,
11078,QD,10S,7S,,,,
11079,KD,9S,4H,,,,
11080,10H,AC,3H,8D,,,
11081,10D,8H,5H,,,,
11082,10C,KH,9D,,,,
11083,7H,8H,3H,9C,,,
11084,QH,KS,8C,,,,
11085,9H,4D,4S,AC,,,
11086,2D,10D,QD,,,,
11087,KD,JD,3H,,,,
11088,4C,2S,5C,4H,3D,AD,
11089,6D,KD,2H,,,,
11090,2S,QS,6H,,,,
11091,9H,5C,3H,JS,,,
11092,JD,4H,4C,5D,,,
11093,6S,8D,6C,QD,,,
11094,6S,4H,2S,4C,2D,6D,
11095,6D,6C,7S,JD,,,
11096,3C,8D,KS,,,,
11097,2H,KS,2D,8D,,,
11098,KC,6C,8S,,,,
11099,8S,AC,KD,7C,,,
11100,3D,6H,6S,10D,,,
11101,JS,6C,8C,,,,
11102,AD,8C,JD,,,,
11103,AH,7H,10C,4S,,,
11104,9C,8H,AS,8C,,,
11105,7C,3H,2S,9D,,,
11106,6S,KD,9D,,,,
11107,9D,5S,QD,,,,
11108,QC,9C,2D,,,,
11109,9S,AH,10S,,,,
11110,3H,AC,3D,,,,
11111,5D,6C,QH,,,,
11112,7H,JS,3H,,,,
11113,5C,8C,6S,2D,,,
11114,JH,10H,KH,,,,
11115,2S,6H,7D,,,,
11116,10C,AC,5S,10H,,,
11117,JC,AH,AC,2C,QS,,
11118,6D,7H,5H,4D,,,
11119,10C,3S,2C,7H,,,
11120,JS,QC,4D,,,,
11121,4C,9D,QD,,,,
11122,QD,8D,2C,,,,
11123,7C,QC,10C,,,,
11124,KH,10C,7D,,,,
11125,7C,8S,3S,,,,
11126,8H,QH,6S,,,,
11127,2S,2H,QD,AD,JH,,
11128,5H,KD,7D,,,,
11129,AH,9S,QC,6C,,,
11130,10H,4C,6H,2S,,,
11131,JD,9H,KH,,,,
11132,QS,9D,10H,,,,
11133,3S,10C,AC,,,,
11134,7S,JH,3H,6S,,,
11135,QC,6C,KD,,,,
11136,2S,4C,8H,,,,
11137,5S,4D,9D,KC,,,
11138,KC,JD,KH,,,,
11139,10D,JD,JS,,,,
11140,JH,QS,2D,,,,
11141,10S,2S,3D,4C,2C,,
11142,4D,AD,3H,,,,
11143,JS,AH,2S,3H,,,
11144,QS,10S,5S,,,,
11145,7H,9H,JH,,,,
11146,2C,JD,5H,,,,
11147,3H,8C,JH,,,,
11148,3C,2C,8S,,,,
11149,9S,6C,6D,,,,
11150,3S,9H,9C,,,,
11151,6C,6S,7C,,,,
11152,JH,QC,6H,,,,
11153,KH,7H,4C,,,,
11154,2S,KD,AS,8H,,,
11155,KS,7D,6S,,,,
11156,JH,2D,QS,,,,
11157,10H,AH,6D,,,,
11158,5H,QS,8D,,,,
11159,9D,4S,2D,4D,QC,,
11160,5S,KH,9S,,,,
11161,AC,9S,4D,7H,,,
11162,KS,3S,QD,,,,
11163,QD,AD,10D,,,,
11164,7C,9C,8H,,,,
11165,9S,JD,KD,,,,
11166,10S,9S,QH,,,,
11167,8C,6H,3C,,,,
11168,5S,2S,AD,AS,JC,,
11169,7H,JD,4D,,,,
11170,8C,7H,10S,,,,
11171,10S,2D,5C,9D,,,
11172,6C,KD,10S,,,,
11173,5C,AS,8C,,,,
11174,7S,5H,KD,,,,
11175,4C,JD,10S,,,,
11176,3C,AH,6H,,,,
11177,QC,4C,2H,,,,
11178,4C,QH,4D,KD,,,
11179,JH,9H,2D,,,,
11180,2H,QC,AD,6S,,,
11181,7S,8S,8H,,,,
11182,8S,6H,10C,,,,
11183,QS,KD,7H,,,,
11184,7D,4H,KC,,,,
11185,9C,4H,8C,,,,
11186,3H,7H,5S,7C,,,
11187,9D,9S,AH,2D,,,
11188,10S,9S,2S,,,,
11189,9S,2C,QD,,,,
11190,2D,5S,AH,7D,QD,,
11191,3D,2D,7C,KD,,,
11192,6C,2D,JD,,,,
11193,7S,KC,4H,,,,
11194,2S,8D,3D,,,,
11195,6C,3H,8D,,,,
11196,QS,KS,7H,,,,
11197,AS,8C,10C,3C,,,
11198,KH,10D,7C,,,,
11199,10H,6C,8C,,,,
11200,JS,KS,4D,,,,
11201,9H,7H,KC,,,,
11202,6H,QD,JC,,,,
11203,5D,KC,KD,,,,
11204,5H,3S,KC,,,,
11205,JC,3D,AD,8C,,,
11206,10D,5S,6S,,,,
11207,5C,QH,KC,,,,
11208,JC,10H,QH,,,,
11209,8H,7D,5S,5C,,,
11210,6H,AD,4S,JS,,,
11211,10H,8H,5C,,,,
11212,JC,AH,7D,2S,2C,,
11213,3S,QD,5D,8H,,,
11214,KD,KS,9D,,,,
11215,4S,3C,KC,4C,,,
11216,10H,6S,2H,,,,
11217,10S,JC,7C,,,,
11218,9C,7C,2H,,,,
11219,8H,6H,2H,KH,,,
11220,2S,6C,3D,,,,
11221,5S,KS,JC,,,,
11222,10S,9H,8S,,,,
11223,4D,2H,3C,,,,
11224,8S,3H,AC,10C,,,
11225,3C,9D,AS,JC,,,
11226,KD,QH,6H,,,,
11227,7D,2D,KH,5H,,,
11228,3C,4S,10S,KC,,,
11229,AD,3H,4H,AC,,,
11230,7C,KC,AS,JH,,,
11231,4D,3C,3S,,,,
11232,9D,5C,AS,JH,,,
11233,5H,5C,6D,2S,,,
11234,JH,JD,QC,,,,
11235,4H,3C,JC,,,,
11236,3S,9D,2H,KH,,,
11237,JD,8S,6S,,,,
11238,9D,QS,AH,3S,,,
11239,AH,KS,6S,KH,,,
11240,2D,10S,6D,9C,,,
11241,5D,3S,7H,3H,,,
11242,9S,AC,5C,,,,
11243,JH,8C,6D,,,,
11244,10H,3H,9D,,,,
11245,JD,AD,QD,,,,
11246,3C,AS,2H,,,,
11247,3H,AH,KD,KC,,,
11248,QH,7D,10D,,,,
11249,KD,5C,5H,8D,,,
11250,JS,KC,AD,,,,
11251,10C,2S,AH,QD,,,
11252,5C,JS,6S,,,,
11253,6S,8C,9C,,,,
11254,5D,4S,5S,9S,,,
11255,KD,2S,KH,,,,
11256,4S,7C,JH,,,,
11257,8S,AS,7H,2S,7S,,
11258,9D,5D,10H,,,,
11259,6C,7C,10S,,,,
11260,7D,7H,3H,8D,,,
11261,9C,KC,10S,,,,
11262,8H,KC,4D,,,,
11263,9D,10C,7S,,,,
11264,4D,2D,AC,,,,
11265,AD,6C,AC,,,,
11266,AH,6H,4S,7C,AS,2C,
11267,4C,7H,8C,,,,
11268,6C,2D,6D,AH,6S,,
11269,10C,9H,KC,,,,
11270,8H,3S,5S,4C,,,
11271,8H,3S,8C,,,,
11272,7S,4H,AS,2H,2S,,
11273,2S,KD,3C,7S,,,
11274,QH,5S,3C,5D,,,
11275,6H,AD,KS,3D,,,
11276,KD,QC,10S,,,,
11277,9C,10C,4H,,,,
11278,10S,3C,10H,,,,
11279,5D,7S,3C,8C,,,
11280,9C,2S,4C,QS,,,
11281,4D,QS,KC,,,,
11282,QC,4S,KH,,,,
11283,9C,7H,AD,QS,,,
11284,8S,KD,AH,KS,,,
11285,9S,AD,4H,2H,,,
11286,8D,JS,10H,,,,
11287,10S,7C,8S,,,,
11288,5S,3H,2S,9C,,,
11289,10D,KS,AD,,,,
11290,7H,QH,JC,,,,
11291,8D,4D,9D,,,,
11292,5H,9S,3C,9C,,,
11293,8H,3S,10H,,,,
11294,JH,8D,2C,5C,,,
11295,5C,2H,2D,10C,4C,,
11296,9C,KS,5C,,,,
11297,2C,2H,7S,,,,
11298,JS,AS,JD,,,,
11299,2D,4D,3D,,,,
11300,QD,JH,KC,,,,
11301,10S,JC,AH,,,,
11302,7C,7H,10C,,,,
11303,JC,3H,KS,,,,
11304,3S,AH,9H,,,,
11305,QH,QC,AC,,,,
11306,9S,6D,7S,,,,
11307,7D,4H,3C,9H,,,
11308,10C,3C,4H,6H,,,
11309,10H,2H,9H,,,,
11310,2S,4H,9C,QH,,,
11311,9S,AH,7C,QH,,,
11312,KS,JS,9D,,,,
11313,7H,2D,JC,JH,,,
11314,10S,6C,9C,,,,
11315,3D,2D,5D,,,,
11316,4C,2C,9S,KD,,,
11317,KS,AS,KH,,,,
11318,3H,QH,2D,,,,
11319,7H,QC,9C,,,,
11320,4D,7C,KS,,,,
11321,2D,2S,4D,,,,
11322,3S,QD,AH,7H,,,
11323,6C,KD,8H,,,,
11324,2S,JS,4H,9H,,,
11325,5D,4H,10S,KS,,,
11326,4D,6S,8H,JH,,,
11327,QD,7D,7H,,,,
11328,9C,5H,8H,,,,
11329,5D,7S,10C,,,,
11330,8H,2D,QS,3C,,,
11331,QH,2D,AS,,,,
11332,2D,KC,7H,KD,,,
11333,9D,6C,6D,,,,
11334,4C,6H,4H,QD,,,
11335,QH,10D,KC,,,,
11336,5S,AS,3C,,,,
11337,4S,JH,9C,,,,
11338,8H,2C,8D,JD,,,
11339,7D,10S,10H,,,,
11340,7D,8H,9D,,,,
11341,AH,8S,6S,,,,
11342,2D,9H,8C,,,,
11343,9S,4C,5S,6S,,,
11344,AD,5H,QD,3D,QC,,
11345,7H,AC,6H,9H,,,
11346,5D,AD,5C,,,,
11347,KS,4C,AH,KD,,,
11348,7D,4S,KS,,,,
11349,QC,9S,QH,,,,
11350,6D,JH,3C,AH,8H,,
11351,8C,10D,6C,,,,
11352,KS,9D,QS,,,,
11353,2S,10D,9D,,,,
11354,9H,QH,5H,,,,
11355,10D,QS,10H,,,,
11356,KS,10D,9S,,,,
11357,KD,KC,6H,,,,
11358,10C,4H,2C,4C,,,
11359,AH,JS,QD,,,,
11360,6S,4S,AC,,,,
11361,5S,3H,9S,JS,,,
11362,9D,8C,3S,10D,,,
11363,10S,6D,2D,,,,
11364,6C,5S,2C,KS,,,
11365,5D,AC,QS,7S,,,
11366,7H,6S,2C,,,,
11367,JH,QC,4S,,,,
11368,JS,4D,10C,,,,
11369,JC,3H,2D,QD,,,
11370,8C,AC,7C,6C,,,
11371,AH,AC,3H,4H,,,
11372,2H,JH,9C,,,,
11373,10S,3S,6C,3D,,,
11374,JD,7D,8H,,,,
11375,JD,KH,JH,,,,
11376,10C,3H,4C,,,,
11377,3C,AD,KD,AS,,,
11378,QS,5S,7S,,,,
11379,10S,9D,3H,,,,
11380,4D,6S,9H,KD,,,
11381,6D,5S,JC,,,,
11382,10H,4H,2D,6S,,,
11383,JD,3D,AS,,,,
11384,3H,5D,10C,7C,,,
11385,3C,5C,2D,QH,8S,,
11386,AH,7C,10H,KH,,,
11387,6C,6H,QD,,,,
11388,6S,2C,10S,5H,,,
11389,4S,JH,JS,,,,
11390,8D,AC,10H,9D,,,
11391,6C,5C,KC,,,,
11392,6C,3C,2S,,,,
11393,4C,7S,10C,,,,
11394,AS,2H,5S,,,,
11395,2H,QD,6S,,,,
11396,2H,6C,7C,3H,2D,,
11397,6D,QC,AS,,,,
11398,5S,7D,KS,,,,
11399,4H,JC,3D,,,,
11400,2S,JD,4C,4S,10C,,
11401,KS,3C,9C,,,,
11402,KD,5S,7H,,,,
11403,3S,5H,AH,10S,7D,,
11404,3S,5D,9H,,,,
11405,4C,8D,6D,,,,
11406,QH,7H,5S,,,,
11407,7H,7D,2H,,,,
11408,JH,8H,QS,,,,
11409,2D,5D,KH,8H,,,
11410,6H,4S,3D,,,,
11411,JC,AS,2S,QH,,,
11412,6H,QH,KH,,,,
11413,7S,KS,JS,,,,
11414,4D,2H,8D,7D,,,
11415,3H,KS,9S,,,,
11416,3C,QC,7H,5C,,,
11417,3D,5S,QS,5D,,,
11418,2S,6S,9C,AD,,,
11419,2S,9S,JD,,,,
11420,JH,5D,3D,KH,,,
11421,KD,4H,JD,,,,
11422,AC,8C,5D,AD,JD,,
11423,8C,AH,4C,,,,
11424,6D,KS,2D,3S,,,
11425,3D,7S,2C,,,,
11426,QS,7D,7H,,,,
11427,4S,7C,10C,,,,
11428,10S,QH,4S,,,,
11429,9C,4S,8H,,,,
11430,AD,KD,2S,4H,5C,,
11431,4S,9H,AH,,,,
11432,KC,AS,7H,10H,,,
11433,6H,AH,6S,,,,
11434,QH,AC,JC,,,,
11435,8S,JD,3H,,,,
11436,6S,KH,AC,,,,
11437,AD,8S,4D,,,,
11438,4D,2D,5C,QD,,,
11439,4H,5D,JS,AH,,,
11440,7C,KD,2C,2D,,,
11441,9H,10C,5S,,,,
11442,3S,6H,4C,5C,9S,,
11443,QH,8D,8H,,,,
11444,8D,AS,3H,9H,,,
